TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
580,0,0,0.2
580,0,0,0.1
580,0,0,0.1
580,0,0,0.4
580,0,0,0.3
580,0,0.1,0
580,0,0,0.2
580,0,0,0.5
580,0.1,0.1,0.3
585,0.1,0.1,0.1
585,0.2,0.2,0.2
600,0.1,0.1,0.1
610,0.1,0.1,0.1
620,0.1,0.1,0
620,0.1,1.5,0
615,2.3,3.6,0
610,0.5,1.2,0
610,0.1,0.1,0
610,0,0,0
605,0,0,0
615,0,0,0
625,0,0,0
630,0,0,0
635,0,0,0
635,0,0,0
625,0,0,0
620,0,0,0
615,0,0,0
610,0,0,0
610,0,0,0
635,0,0,0
650,0,0,0
660,0,0,0
655,0,0,0
650,0,0,0
645,0,0,0.1
640,0.1,0.1,0.1
635,0.4,0.1,0.1
625,0.2,1.5,0.1
620,0.2,2.5,0.4
620,0.2,0.3,0.1
615,0.2,0.2,0.4
610,0.2,0.1,0.2
610,0.1,0,0
610,0,0.2,0
605,0,0,0
605,0,0,0.2
605,0,0,0.2
605,0,0,0.1
605,0.2,0.2,0.6
605,0.1,0.2,0.6
600,0,0.1,0.4
600,0.2,0.1,0.5
600,0.1,0,0.5
600,0.1,0,0.2
600,0,0.1,0.1
610,0.3,0.1,0.4
610,0.2,0.1,0.6
605,0.2,0.2,0.9
605,2.9,4,1.3
600,0.6,1.4,0.3
600,0.3,0.4,0
600,0.1,0.3,0
600,0,0.1,0
600,0,0.4,0
600,0,0.2,0
600,0,0,0
610,0,0,0
605,0,0,0
600,0,0,0
595,0,0,0
595,0,0,0.3
595,0,0,0.2
600,0,0.2,0.2
665,0,0.2,0.1
665,0,0.1,0
655,0,0,0.2
640,0,0,0.1
640,0,0,0.3
620,0,0,0.3
610,0.1,0.1,0.3
605,0.1,0.2,0.4
600,0.6,0.3,0.2
600,0.2,0.2,0.2
600,0.2,2.6,0.1
600,0.3,0.1,0.1
595,0.1,0.3,0.1
595,0.1,0.3,0
595,0.1,0.6,0
595,0,1,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0.9,0,0.3
600,0.3,0,0.2
635,0.1,0,0
665,0,0,0
685,0,0,0
685,0,0,0
685,0,0,0
685,0,0,0
600,0,0,0
655,0,0,0
650,0,0,0
640,0,0,0
630,0.1,0.1,0
625,0.2,0.1,0.1
620,0.2,0.1,0.2
620,2.4,0.2,1
625,1.4,0.1,0.3
640,3.4,0.7,1.2
630,4.5,2.9,1.9
620,4.1,1.8,1.1
620,1,0.5,1.7
615,0.1,0.1,0.1
610,0.1,0,0.3
610,0.4,0.6,0.5
600,1.2,1.2,1.3
600,0.7,0.5,1.2
600,0.4,0.6,0.6
600,0.2,0.6,0.3
595,0.3,0,0.3
595,0.4,0,0.4
595,0.4,0,0.6
595,0.2,0,0.5
595,0,0,0.1
590,0,0,0
590,0,0,0.1
590,0.1,0,0.1
590,0.1,0.2,0.3
590,0.3,0.1,0.8
595,4.2,0.3,2.3
595,1.9,3,2
595,2.4,1.3,1.4
595,1.1,1.1,1.1
600,0.5,0.7,0.5
600,0.3,0.2,0.4
600,0.3,0.1,0.3
600,0.2,0.1,0.3
600,0.3,0.2,0.3
600,0.2,0.3,0.3
600,0.4,0.3,0.6
600,0.1,0.7,0.3
610,0.1,0.2,0.2
630,0.4,0.4,0.5
635,0.6,0.4,0
650,0.1,0.1,0
660,0.2,0.2,0
660,0.2,0,0
660,0.1,0,0.1
660,0,0,0.1
655,0,0,0.2
650,0.1,0.2,0.3
640,1,0.2,0.3
640,1.6,0.3,1.9
635,1.4,0.5,1.7
630,0.2,3.3,0.2
625,0.1,0.3,0.1
625,0.4,1.3,0.1
620,0.2,0.5,0.1
620,0.2,0.6,0.1
